,c,r
0,173688,1
1,173691,1
2,173694,1
3,173697,0
4,173700,0
5,173703,0
6,173706,1
7,173709,1
8,173712,1
9,173715,0
10,173718,1
11,173721,1
12,173724,0
13,173727,1
14,173730,0
15,173733,0
16,173736,1
17,173739,1
18,173742,0
19,173745,1
20,173748,0
21,173751,1
22,173754,1
23,173757,1
24,173760,0
25,173763,0
26,173766,1
27,173769,1
28,173772,0
29,173775,0
30,173778,1
31,173781,1
32,173784,1
33,173787,0
34,173790,1
35,173793,0
36,173796,0
37,173799,0
38,173802,0
39,173805,0
40,173808,0
41,173811,0
42,173814,0
43,173817,1
44,173820,0
45,173823,0
46,173826,0
47,173829,1
48,173832,1
49,173835,0
50,173838,0
51,173841,0
52,173844,1
53,173847,1
54,173850,0
55,173853,0
56,173856,0
57,173859,1
58,173862,0
59,173865,1
60,173868,1
61,173871,1
62,173874,1
63,173877,1
64,173880,1
65,173883,1
66,173886,1
67,173889,0
68,173892,1
69,173895,1
70,173898,0
71,173901,1
72,173904,0
73,173907,1
74,173910,0
75,173913,1
76,173916,1
77,173919,1
78,173922,0
79,173925,0
80,173928,0
81,173931,0
82,173934,1
83,173937,1
84,173940,0
85,173943,1
86,173946,1
87,173949,1
88,173952,1
89,173955,0
90,173958,0
91,173961,0
92,173964,1
93,173979,0
94,173982,1
95,173985,1
96,173988,1
97,173991,0
98,173994,0
99,173997,0
100,174000,0
101,174003,0
102,174006,0
103,174009,0
104,174012,0
105,174015,0
106,174018,0
107,174021,0
108,174024,1
109,174027,0
110,174030,0
111,174033,1
112,174036,0
113,174039,0
114,174042,0
115,174045,0
116,174048,1
117,174051,1
118,174054,0
119,174057,0
120,174060,0
121,174063,1
122,174066,0
123,174069,1
124,174072,0
125,174075,1
126,174078,0
127,174081,0
128,174084,1
129,174087,0
130,174090,0
131,174093,0
132,174096,1
133,174099,1
134,174102,1
135,174105,1
136,174108,1
137,174111,1
138,174114,0
139,174117,1
140,174120,0
141,174123,1
142,174126,1
143,174129,1
144,174132,0
145,174135,0
146,174138,0
147,174141,0
148,174144,1
149,174147,1
150,174150,1
151,174153,0
152,174156,1
153,174159,0
154,174162,1
155,174165,1
156,174168,0
157,174171,0
158,174174,0
159,174177,0
160,174180,1
161,174183,0
162,174186,1
163,174189,1
164,174192,1
165,174195,0
166,174198,1
167,174201,1
168,174204,0
169,174207,0
170,174210,1
171,174213,1
172,174216,0
173,174219,0
174,174222,0
175,174225,1
176,174228,1
177,174231,1
178,174234,1
179,174237,0
180,174240,1
181,174243,0
182,174246,0
183,174249,0
184,174252,0
185,174255,0
186,174258,1
187,174261,1
188,174264,0
189,174267,0
190,174270,0
191,174273,1
192,174276,1
193,174279,0
194,174282,0
195,174285,0
196,174288,1
197,174291,0
198,174294,0
199,174297,0
200,174300,1
201,174303,0
202,174319,0
203,174322,1
204,174325,1
205,174328,0
206,174331,1
207,174334,0
208,174337,1
209,174340,0
210,174343,1
211,174346,1
212,174349,1
213,174352,0
214,174355,0
215,174358,0
216,174361,0
217,174364,0
218,174367,0
219,174370,0
220,174373,1
221,174376,0
222,174379,0
223,174382,0
224,174385,1
225,174388,0
226,174391,0
227,174394,0
228,174397,1
229,174400,1
230,174403,0
231,174406,0
232,174409,1
233,174412,0
234,174415,0
235,174418,0
236,174421,1
237,174424,1
238,174427,0
239,174430,1
240,174433,0
241,174436,1
242,174439,1
243,174442,1
244,174445,0
245,174448,1
246,174451,0
247,174454,1
248,174457,0
249,174460,1
250,174463,1
251,174466,0
252,174469,1
253,174472,1
254,174475,1
255,174478,1
256,174481,0
257,174484,0
258,174487,0
259,174490,1
260,174493,1
261,174496,0
262,174499,1
263,174502,0
264,174505,1
265,174508,0
266,174511,0
267,174514,1
268,174517,1
269,174520,0
270,174523,1
271,174526,1
272,174529,1
273,174532,1
274,174535,0
275,174538,1
276,174541,1
277,174544,1
278,174547,0
279,174559,1
280,174562,1
281,174565,1
282,174568,0
283,174571,1
284,174574,1
285,174577,0
286,174599,1
287,174602,1
288,174605,1
289,174608,0
290,174611,1
291,174614,1
292,174617,1
293,174620,0
294,174623,1
295,174626,0
296,174629,0
297,174632,0
298,174635,0
299,174638,1
300,174641,1
301,174644,1
302,174647,0
303,174650,1
304,174653,1
305,174656,1
306,174659,0
307,174662,1
308,174665,1
309,174668,0
310,174671,0
311,174674,0
312,174677,1
313,174680,0
314,174683,1
315,174686,0
316,174689,1
317,174692,1
318,174695,1
319,174698,0
320,174701,1
321,174704,0
322,174707,1
323,174710,1
324,174713,0
325,174716,1
326,174719,1
327,174722,1
328,174725,0
329,174728,0
330,174731,1
331,174734,0
332,174737,1
333,174740,0
334,174743,0
335,174746,0
336,174749,1
337,174752,0
338,174755,1
339,174758,0
340,174761,0
341,174764,0
342,174767,0
343,174770,0
344,174773,0
345,174776,1
346,174779,1
347,174782,0
348,174785,0
349,174788,0
350,174791,1
351,174794,0
352,174797,0
353,174800,1
354,174803,0
355,174806,1
356,174809,0
357,174812,1
358,174815,0
359,174818,0
360,174821,0
361,174824,1
362,174827,0
363,174830,1
364,174833,1
365,174836,1
366,174839,0
367,174842,0
368,174845,1
369,174848,1
370,174851,0
371,174854,0
372,174857,1
373,174860,1
374,174863,0
375,174866,0
376,174869,0
377,174872,1
378,174875,1
379,174878,0
380,174881,0
381,174884,0
382,174887,1
383,174890,1
384,174893,1
385,174896,0
386,174899,0
387,174902,1
388,174905,1
389,174908,0
390,174911,0
391,174914,0
392,174917,1
393,174920,0
394,174923,0
395,174926,1
396,174929,0
397,174932,1
398,174935,1
399,174938,1
400,174941,0
401,174944,0
402,174947,0
403,174950,1
404,174953,1
405,174956,0
406,174959,0
407,174962,0
408,174965,0
409,174968,1
410,174979,0
411,174982,1
412,174985,1
413,174988,1
414,174991,0
415,174994,1
416,174997,1
417,175000,1
418,175003,1
419,175006,0
420,175009,0
421,175012,1
422,175015,1
423,175018,0
424,175021,1
425,175024,1
426,175027,0
427,175030,1
428,175033,1
429,175036,1
430,175039,0
431,175042,0
432,175045,1
433,175048,1
434,175051,0
435,175054,0
436,175057,0
437,175060,1
438,175063,1
439,175066,0
440,175069,0
441,175072,1
442,175075,1
443,175078,0
444,175081,1
445,175084,1
446,175087,0
447,175090,1
448,175093,1
449,175096,1
450,175099,0
451,175102,0
452,175105,1
453,175108,1
454,175111,1
455,175114,1
456,175117,0
457,175120,1
458,175123,0
459,175126,0
460,175129,0
461,175132,1
462,175135,1
463,175138,0
464,175141,1
465,175144,0
466,175147,1
467,175150,0
468,175153,0
469,175156,0
470,175159,0
471,175162,0
472,175165,1
473,175168,0
474,175171,1
475,175174,0
476,175177,0
477,175180,1
478,175183,0
479,175186,1
480,175189,1
481,175192,1
482,175195,1
483,175198,0
484,175201,1
485,175204,0
486,175219,1
487,175222,0
488,175225,1
489,175228,0
490,175231,1
491,175234,0
492,175239,0
493,175242,0
494,175245,1
495,175248,0
496,175251,0
497,175254,1
498,175257,1
499,175260,0
500,175263,0
501,175266,0
502,175269,1
503,175272,1
504,175275,0
505,175278,1
506,175281,1
507,175284,1
508,175287,0
509,175290,1
510,175293,1
511,175296,0
512,175299,1
513,175302,0
514,175305,0
515,175308,0
516,175311,1
517,175314,1
518,175317,0
519,175320,1
520,175323,1
521,175326,0
522,175329,1
523,175332,1
524,175335,0
525,175338,1
526,175341,0
527,175344,1
528,175347,1
529,175350,0
530,175353,1
531,175356,0
532,175359,0
533,175362,1
534,175365,0
535,175368,0
536,175371,0
537,175374,0
538,175377,1
539,175380,0
540,175383,0
541,175386,1
542,175389,0
543,175392,1
544,175395,0
545,175398,0
546,175401,0
547,175404,0
548,175407,0
549,175410,1
550,175413,0
551,175416,1
552,175419,0
553,175422,0
554,175425,0
555,175428,1
556,175431,1
557,175434,0
558,175437,0
559,175440,0
560,175443,0
561,175446,1
562,175449,1
563,175452,1
564,175455,0
565,175458,0
566,175461,1
567,175464,1
568,175467,0
569,175470,0
570,175473,1
571,175476,1
572,175479,0
573,175482,1
574,175485,1
575,175488,1
576,175491,0
577,175494,0
578,175497,0
579,175500,1
